Icelandic,English
ég,I
að,that
er,which
það,it
ekki,not
og,and
þú,you
við,we
hann,he
þetta,that
hvað,what
sem,who
til,to
mér,me
með,with
þér,you
en,but
um,of
af,of
fyrir,ago
var,was
þig,you
mig,me
því,because
já,yes
hún,she
nei,no
allt,everything
ef,if
þá,then
eru,are
bara,just
ert,are
svo,then
þeir,they
þið,you
okkur,U.S
eftir,over
eins,likewise
vera,precede
hér,here
ertu,are you
veit,know
hefur,has
gera,do
lagi,right
nú,now
frá,of
þegar,when
hvernig,how
fara,leave
honum,him
hef,have
verður,must
út,out
aftur,again
upp,up
ekkert,nothing
vel,well
þessu,this
verið,been
minn,mine
hver,any
sé,see
hana,her
eða,or
svona,thus
hverju,which
ykkur,you
vil,want
úr,watch
get,can
segja,tell
komdu,come
hafa,have
aldrei,never
eitthvað,something
hvar,where
hjá,at
erum,are
gott,good
viltu,do you want
sagði,said
fá,gain
hérna,here
maður,man
inn,inwards
getur,can
þau,they
koma,arrival
herra,master
okkar,our
núna,presently
þarna,there
kannski,perhaps
hans,his
tala,talk
mín,mine
þar,there
þarf,need
þess,that
þeim,them
þín,your
væri,would be
farðu,go away
henni,her
fer,goes
þinn,your
takk,thanks
líka,too
áfram,forward
sjá,see
rétt,authorize
mjög,very
held,think
sér,with
kemur,comes
gert,done
verð,rate
vegna,because of
enn,still
þessi,this
sá,that
saman,together
þakka,thank
einn,solitary
komið,come
alltaf,ever
gæti,could
kom,came
allir,everyone
vita,know
of,too
skal,shall
má,may
enginn,no
yfir,past
hafi,Have
hr,hold
farið,gone
heldur,rather
dag,day
veistu,do you know
ætla,intend
hefði,would have
þær,then it's
förum,went
ao,ao
sig,himself
hingað,here
mitt,mine
átt,direction
pabbi,dad
niður,down
láttu,let
sama,same
guð,God
einhver,some
mikið,much
segðu,say
höfum,have
heim,home
segir,says
aðeins,only
áður,before
bíddu,wait
finnst,feel
vildi,wanted
vertu,be
getum,can
þessa,this
góður,good
meira,more
vill,wants
satt,TRUE
fyrirgefðu,sorry
tíma,devote
mamma,mom
eitt,one
fór,went
hefurðu,do you have
gerðu,make
veist,know
jæja,well
annað,other
pú,you
taka,take
verðum,must
menn,men
halda,maintain
þitt,your
voru,were
stað,place
alla,all
verða,become
sagt,said
vilt,want
gerir,does
hvert,where
ykkar,yours
gerði,did
leið,approach
láta,let
sjáðu,see
fram,front
séð,seen
hvaða,which
fjandinn,damn
hvort,which
öll,all
kvöld,evening
mun,will
ár,oar
vinur,friend
elskan,Darling
myndi,would
ad,ad
fólk,folk
einu,one
hélt,thought
geri,difficult
síðan,since
hennar,her
hættu,stop
eina,one
vissi,knew
ætti,should
þannig,thus
auðvitað,of course
sinni,forward
þessum,these
halló,hello
þeirra,their
petta,point
langar,wants
þína,your
mína,My
eruð,consists
drepa,kill
strax,immediately
skil,understand
án,with out
alveg,altogether
pao,pao
reyna,try
þennan,this
vinna,win
finna,find
geturðu,can you
viss,certain
áttu,do you have
neitt,anything
morgun,morning
hugsa,think
undir,underneath
öllum,all
engin,Noone
mínum,my
gengur,walks
hvers,whose
heldurðu,Do you think
taktu,take
kem,come
haltu,Hold
lengi,long time
einmitt,exactly
frú,miss
varð,became
hæ,Hi
segi,say
fékk,got
hvenær,when
